,code,2020pointsR1,2020pointsR2,2020EOS
1305,TU836,401.0,,401
1306,TU837,385.0,,385
1307,TU851,349.0,,349
1308,TU852,476.0,,476
1309,TU854,476.0,,476
1310,TU855,331.0,319,319
1311,TU856,476.0,,476
1312,TU857,391.0,,391
1313,TU858,377.0,,377
1314,TU859,217.0,234,217
1315,TU860,260.0,,260
1316,TU861,308.0,308,308
1317,TU862,226.0,226,226
1318,TU863,280.0,,280
1319,TU864,400.0,390,390
1320,TU865,226.0,,226
1321,TU866,487.0,,487
1322,TU867,524.0,,524
1323,TU868,510.0,,510
1324,TU869,336.0,,336
1325,TU870,578.0,,578
1326,TU871,509.0,,509
1327,TU872,491.0,,491
1328,TU873,250.0,250,250
1329,TU874,341.0,,343
1330,TU875,400.0,,400
1331,TU876,377.0,349,349
1332,TU877,308.0,,308
1333,TU878,337.0,337,331
1334,TU879,351.0,,351
1335,TU880,578.0,,
1336,TU881,318.0,,318
1337,TU882,397.0,,397
1338,TU901,270.0,,270
1339,TU902,271.0,,271
1340,TU903,463.0,,463
1341,TU904,462.0,,462
1342,TU905,465.0,,465
1343,TU906,395.0,,395
1344,TU907,300.0,,300
1345,TU908,262.0,253,253
1346,TU909,285.0,,285
1347,TU910,444.0,,444
1348,TU911,209.0,192,192
1349,TU912,330.0,,330
1350,TU913,252.0,,252
1351,TU914,324.0,,324
1352,TU915,252.0,,252
1353,TU916,235.0,235,235
1354,TU917,342.0,,342
1355,TU918,451.0,,451
1356,TU919,228.0,226,226
1357,TU920,270.0,,270
1358,TU921,212.0,212,234
1359,TU922,418.0,,418
1360,TU923,228.0,276,228
1361,TU924,307.0,,307
1362,TU925,301.0,,301
1363,TU935,300.0,,300
1364,TU936,410.0,391,391
1365,TU941,249.0,,249
1366,TU942,212.0,212,212
1367,TU943,278.0,,279
1368,TU944,316.0,,316
1369,TU951,184.0,184,200
1370,TU952,300.0,,306
1371,TU953,290.0,,290
1372,TU954,356.0,,356
1373,TU955,217.0,317,217
1374,TU961,608.0,608,608
1375,TU962,379.0,,379
1376,TU963,416.0,,416
1377,TU965,356.0,346,346
1378,TU966,366.0,,434
1379,TU967,308.0,,326
1380,TU971,290.0,,290
1381,TU972,281.0,,281
1382,TU973,717.0,,717
1383,TU974,709.0,563,563
1384,TU975,632.0,,632
1385,TU976,695.0,,695
1386,TU981,280.0,,282
1387,TU982,320.0,311,311
1388,TU983,456.0,451,451
1389,TU984,381.0,,381
1390,TU985,322.0,,322
1391,TU986,289.0,,289
1392,TU991,325.0,,325
1393,TU992,251.0,,253
1394,TU993,270.0,,270
1395,TU994,321.0,251,230
1396,TU995,367.0,,367
1397,TU996,400.0,,400
1398,TU997,310.0,283,270
1399,WD001,260.0,260,260
1400,WD002,308.0,,308
1401,WD003,,171,AQA
1402,WD005,280.0,,280
1403,WD006,280.0,,280
1404,WD007,288.0,288,288
1405,WD010,181.0,,181
1406,WD011,198.0,,198
1407,WD013,177.0,,177
1408,WD018,171.0,,171
1409,WD019,174.0,,174
1410,WD025,269.0,,269
1411,WD027,262.0,,262
1412,WD048,271.0,,271
1413,WD076,243.0,,243
1414,WD084,308.0,,308
1415,WD091,228.0,,228
1416,WD094,166.0,150,150
1417,WD096,260.0,,260
1418,WD097,,,AQA
1419,WD116,422.0,,422
1420,WD117,366.0,,366
1421,WD120,377.0,,377
1422,WD126,327.0,,327
1423,WD134,290.0,,290
1424,WD137,271.0,,271
1425,WD139,206.0,,206
1426,WD140,280.0,,280
1427,WD144,284.0,,284
1428,WD147,293.0,,293
1429,WD149,271.0,,271
1430,WD150,270.0,,270
1431,WD151,,AQA,AQA
1432,WD152,,,AQA
1433,WD153,163.0,,163
1434,WD155,211.0,,211
1435,WD159,195.0,,195
1436,WD161,255.0,,255
1437,WD162,216.0,,216
1438,WD163,434.0,,434
1439,WD164,309.0,,309
1440,WD172,,AQA,AQA
1441,WD173,,,AQA
1442,WD174,,,AQA
1443,WD175,226.0,,226
1444,WD177,222.0,,222
1445,WD182,,,AQA
1446,WD184,163.0,,163
1447,WD186,270.0,,270
1448,WD187,272.0,,272
1449,WD188,201.0,,201
1450,WD191,377.0,,377
1451,WD192,270.0,,270
1452,WD193,271.0,,271
1453,WD194,217.0,,217
1454,WD195,279.0,,279
1455,WD200,,AQA,AQA
1456,WD205,228.0,,228
1457,WD206,179.0,,179
1458,WD207,198.0,,198
1459,WD208,188.0,,188
1460,WD210,279.0,,279
1461,WD211,271.0,,271
1462,WD212,270.0,,270
1463,WD230,253.0,,253
